Collecting experience...
Ep:  0 | Ep_r:  40.0 | Steps:  39 | Ep_Loss: 0.0000
Ep:  5 | Ep_r:  14.0 | Steps:  13 | Ep_Loss: 0.0000
Ep:  10 | Ep_r:  15.0 | Steps:  14 | Ep_Loss: 0.0000
Ep:  15 | Ep_r:  18.0 | Steps:  17 | Ep_Loss: 0.0000
Ep:  20 | Ep_r:  17.0 | Steps:  16 | Ep_Loss: 0.0000
Ep:  25 | Ep_r:  12.0 | Steps:  11 | Ep_Loss: 0.0000
Ep:  30 | Ep_r:  13.0 | Steps:  12 | Ep_Loss: 0.0000
Ep:  35 | Ep_r:  13.0 | Steps:  12 | Ep_Loss: 0.0000
Ep:  40 | Ep_r:  14.0 | Steps:  13 | Ep_Loss: 0.0000
Ep:  45 | Ep_r:  22.0 | Steps:  21 | Ep_Loss: 0.0000
Ep:  50 | Ep_r:  13.0 | Steps:  12 | Ep_Loss: 0.0000
Ep:  55 | Ep_r:  22.0 | Steps:  21 | Ep_Loss: 0.0000
Ep:  60 | Ep_r:  24.0 | Steps:  23 | Ep_Loss: 0.0000
Ep:  65 | Ep_r:  36.0 | Steps:  35 | Ep_Loss: 0.0000
Ep:  70 | Ep_r:  21.0 | Steps:  20 | Ep_Loss: 0.0000
Ep:  75 | Ep_r:  31.0 | Steps:  30 | Ep_Loss: 0.0000
Ep:  80 | Ep_r:  17.0 | Steps:  16 | Ep_Loss: 0.0000
Ep:  85 | Ep_r:  23.0 | Steps:  22 | Ep_Loss: 0.0000
Ep:  90 | Ep_r:  63.0 | Steps:  62 | Ep_Loss: 0.4112
Ep:  95 | Ep_r:  16.0 | Steps:  15 | Ep_Loss: 0.1209
Ep:  100 | Ep_r:  41.0 | Steps:  40 | Ep_Loss: 0.2970
[34m[1mwandb[39m[22m: [33mWARNING[39m When using several event log directories, please call `wandb.tensorboard.patch(root_logdir="...")` before `wandb.init`
Ep:  105 | Ep_r:  17.0 | Steps:  16 | Ep_Loss: 0.1362
Ep:  110 | Ep_r:  24.0 | Steps:  23 | Ep_Loss: 0.1781
Ep:  115 | Ep_r:  12.0 | Steps:  11 | Ep_Loss: 0.0754
Ep:  120 | Ep_r:  22.0 | Steps:  21 | Ep_Loss: 0.2170
Ep:  125 | Ep_r:  30.0 | Steps:  29 | Ep_Loss: 0.1886
